doi,paper_id,paper_title
10.1016/j.matlet.2007.04.009,R732605,"Tris(dialkylamino)aluminums: Syntheses, characterization, volatility comparison and atomic layer deposition of alumina thin films"
10.1149/1.3428705,R732608,Low Temperature Plasma-Enhanced Atomic Layer Deposition of Metal Oxide Thin Films
10.1063/1.2742791,R732611,Nitride mediated epitaxy of CoSi2 through self-interlayer-formation of plasma-enhanced atomic layer deposition Co
10.1557/JMR.2004.0426,R732614,Atomic layer deposition of noble metals: Exploration of the low limit of the deposition temperature
10.1116/1.2345205,R732617,Atomic layer deposition of Ta-based thin films: Reactions of alkylamide precursor with various reactants
10.1149/1.2988651,R732621,Deposition of TiN and TaN by Remote Plasma ALD for Cu and Li Diffusion Barrier Applications
10.1116/1.3256227,R732624,"Optical emission spectroscopy as a tool for studying, optimizing, and monitoring plasma-assisted atomic layer deposition processes"
10.1149/1.3125876,R732627,Remote Plasma ALD of Platinum and Platinum Oxide Films
10.1063/1.1590743,R732631,GaAs metal–oxide–semiconductor field-effect transistor with nanometer-thin dielectric grown by atomic layer deposition
10.1149/1.2737629,R732634,Plasma and Thermal ALD of Al[sub 2]O[sub 3] in a Commercial 200 mm ALD Reactor
10.1063/1.2828338,R732637,Atomic-layer-deposited nanostructures for graphene-based nanoelectronics
10.1063/1.3115144,R732640,A hybrid encapsulation method for organic electronics
10.1149/1.3076143,R732643,Thermal and Plasma Enhanced Atomic Layer Deposition of Al[sub 2]O[sub 3] on GaAs Substrates
10.1063/1.3399776,R732646,Origin and passivation of fixed charge in atomic layer deposited aluminum oxide gate insulators on chemically treated InGaAs substrates
10.1063/1.3505311,R732649,Very low surface recombination velocities on p- and n-type c-Si by ultrafast spatial atomic layer deposition of aluminum oxide
10.1063/1.2240736,R732652,Ultralow surface recombination of c-Si substrates passivated by plasma-assisted atomic layer deposited Al2O3
10.1063/1.2357886,R732655,<i>In situ</i> reaction mechanism studies of plasma-assisted atomic layer deposition of Al2O3
10.1063/1.2940598,R732658,Surface chemistry of plasma-assisted atomic layer deposition of Al2O3 studied by infrared spectroscopy
10.1063/1.2924406,R732661,Reaction mechanisms during plasma-assisted atomic layer deposition of metal oxides: A case study for Al2O3
10.1063/1.2963707,R732664,Silicon surface passivation by atomic layer deposited Al2O3
10.1063/1.3267299,R732667,Plasma-assisted atomic layer deposition of TiN/Al2O3 stacks for metal-oxide-semiconductor capacitor applications
10.1116/1.2359728,R732670,Area selective atomic layer deposition of titanium dioxide: Effect of precursor chemistry
10.1149/1.2186427,R732673,Thermal and Plasma-Enhanced ALD of Ta and Ti Oxide Thin Films from Alkylamide Precursors
10.1063/1.2745226,R732676,ZnO nanoparticle growth on single-walled carbon nanotubes by atomic layer deposition and a consequent lifetime elongation of nanotube field emission
10.1103/PhysRevB.69.165303,R732679,Kinetic model of II-VI(001) semiconductor surfaces: Growth rates in atomic layer epitaxy
10.1063/1.2961003,R732682,S passivation of GaAs and band bending reduction upon atomic layer deposition of HfO2/Al2O3 nanolaminates
10.1063/1.3021374,R732685,Energy barriers at interfaces of (100)GaAs with atomic layer deposited Al2O3 and HfO2
10.1063/1.3357283,R732688,Resistance switching in HfO2 metal-insulator-metal devices
