Name,ORKG Resource ID,Status
CdZnxOy,R736011,Processed
LaMnxOy,R736012,Processed
NbSi,R736013,Processed
LaLuxOy,R736014,Processed
GeTe2,R736015,Processed
Li3N,R736016,Processed
Fe,R723781,Processed
HfScxOy,R736017,Processed
NiFePO,R736018,Processed
ScAlxFy,R736019,Processed
CeO2,R736020,Processed
TiO2,R736021,Processed
TiTaxOy,R736022,Processed
Bi2S3,R736023,Processed
MoS-thiolate,R736024,Processed
ErTixOy,R736025,Processed
Er2O3,R736026,Processed
ZnFexOy,R736027,Processed
ZnAlxOy,R736028,Processed
NbTixNy,R736029,Processed
HfO2,R736030,Processed
ZrSx,R736031,Processed
YVxYbyOz,R736032,Processed
CuSex,R736033,Processed
NdYbxTiyOz,R736034,Processed
V2O3,R736035,Processed
TiVxNy,R736036,Processed
TiZrxOy,R736037,Processed
Ni3N,R736038,Processed
LaYxOy,R736039,Processed
LiPxOy,R736040,Processed
VN,R38672,Processed
CuGaxSy,R736041,Processed
WO3-SiO2,R736042,Processed
TiAlxCy,R736043,Processed
Rh2O3,R736044,Processed
Ba(OH)2,R736045,Processed
WNxCy,R736046,Processed
AlNdxOy,R736047,Processed
NaAlxOy,R736048,Processed
BaSnO3,R736049,Processed
VOxPy,R736050,Processed
ZrYxOy,R736051,Processed
GaSx,R736052,Processed
LiBxCyOz,R736053,Processed
Ag,R736054,Processed
TaSnxOy,R736055,Processed
Eu2O3,R736056,Processed
CuCl,R733398,Processed
MgO,R736057,Processed
MoOxNy,R736058,Processed
ZnTe,R736059,Processed
CuMnx,R736060,Processed
LiNixSiyOz,R736061,Processed
LaZrxOy,R736062,Processed
WCxOy,R736063,Processed
LiFexPyOz,R736064,Processed
MoOx,R736065,Processed
CdS,R736066,Processed
TiHfxOy,R736067,Processed
MnCoxOy,R736068,Processed
KPxOyNz,R736069,Processed
MgAlxOy,R736070,Processed
SmMnxOy,R736071,Processed
IrOx,R736072,Processed
LiTixOy,R736073,Processed
FeTixOy,R736074,Processed
NiO,R736075,Processed
Ho2O3,R736076,Processed
MoO3,R736077,Processed
TiCrxOy,R736078,Processed
AlScxOy,R736079,Processed
MgCaxOy,R736080,Processed
ZnSnxSy,R736081,Processed
CoSe2,R736082,Processed
NbSixOy,R736083,Processed
Ta2O5,R736084,Processed
Ni,PWC_NI_C14024,Processed
LiLaxZryOz,R736085,Processed
CuOx,R736086,Processed
TaZrxOy,R736087,Processed
SrTa2O6,R736088,Processed
MoTe2,R736089,Processed
Y2O3,R736090,Processed
Li2S,R736091,Processed
ZnTixZryOz,R736092,Processed
PbI2,R733207,Processed
SnI2,R736093,Processed
Ru,R736094,Processed
Sb2S3,R736095,Processed
TiS2,R736096,Processed
PtOx,R736097,Processed
MoSexOy,R736098,Processed
TiOxPyNz,R736099,Processed
SnTixOy,R736100,Processed
InSnxOy,R736101,Processed
BaTixOy,R736102,Processed
ErZrxOy,R736103,Processed
LaSrxMnyOz,R736104,Processed
ZnCoxOy,R736105,Processed
SrFexOy,R736106,Processed
NaNbxTayOz,R736107,Processed
MgF2,R736108,Processed
SrNbxOy,R736109,Processed
Yb2O3,R736110,Processed
SrBixTayOz,R736111,Processed
GeSbxTey,R736112,Processed
KO,R736113,Processed
HfZrxOy,R736114,Processed
SrSxSey,R736115,Processed
Mn5O8,R736116,Processed
SiCxOy,R736117,Processed
LiMnxOy,R736118,Processed
PbTixOy,R736119,Processed
SbSexTey,R736120,Processed
ZnAlxZryOz,R736121,Processed
CaF2,R736122,Processed
YOxSyEuz,R736123,Processed
In2Se3,R736124,Processed
PbZrxOy,R736125,Processed
GaN,PWC_GAN_MODEL,Processed
W:Al2O3,R736126,Processed
GaAs,R736127,Processed
CdZnxGaySz,R736128,Processed
AlP,R736129,Processed
ErYbxTiyOz,R736130,Processed
InGaxAsy,R736131,Processed
NdTixOy,R736132,Processed
ZnO:H,R736133,Processed
Ti,R736134,Processed
Os,R736135,Processed
VInxS3y,R736136,Processed
RuAlxOy,R736137,Processed
VWxOy,R736138,Processed
ZnS,R736139,Processed
KNbxOy,R736140,Processed
GaAsxPy,R736141,Processed
BaO,R736142,Processed
Ni2Ge,R736143,Processed
CeYxOy,R736144,Processed
In2S3,R736145,Processed
HfAlxOy,R736146,Processed
GaSb,R736147,Processed
MoP,R736148,Processed
GdScxOy,R736149,Processed
Dy2O3,R736150,Processed
SiCxNy,R736151,Processed
ZnGexOy,R736152,Processed
SnSixOy,R736153,Processed
CaS:Eu,R736154,Processed
CoO/Co(OH)2,R736155,Processed
HfTaxOy,R736156,Processed
MoNx,R736157,Processed
AlTixOy,R736158,Processed
NbAlxOy,R736159,Processed
ZnAlxOyFz,R736160,Processed
CoTixNy,R736161,Processed
Ge,PWC_GE_MODEL,Processed
BiOx,R736162,Processed
AlHfxOy,R736163,Processed
Pt,R736164,Processed
InGaxNy,R736165,Processed
ZnSe,R736166,Processed
ZnAlxOySz,R736167,Processed
SnGaxOy,R736168,Processed
SrCoxOy,R736169,Processed
TbScOx,R736170,Processed
HfErxOy,R736171,Processed
ZrS2,R736172,Processed
NaMnxOy,R736173,Processed
NiTixOy,R736174,Processed
CaSnS,R736175,Processed
ZnF2,R736176,Processed
TiOxNy,R736177,Processed
Rh,R691016,Processed
AlLaO3,R736178,Processed
TiLixPyOz,R736179,Processed
GeSbxSeyTez,R736180,Processed
InZnxOy,R736181,Processed
ZrTixOy,R736182,Processed
ZnInxSy,R736183,Processed
Zn3N2,R736184,Processed
HfTixOy,R736185,Processed
SnSex,R736186,Processed
NaNbxOy,R736187,Processed
InSb,R736188,Processed
GaTixOy,R736189,Processed
SnNx,R736190,Processed
CdO,R736191,Processed
KTaxOy,R736192,Processed
InZrxOy,R736193,Processed
VPO4,R736194,Processed
HfS2,R736195,Processed
GeSx,R736196,Processed
Sb2Te3,R736197,Processed
LuAlxOy,R736198,Processed
YbErxOy,R736199,Processed
PbBrxCly,R736200,Processed
TiN,R38667,Processed
NaxCoO2,R736201,Processed
ZrTixSiyOz,R736202,Processed
TaSix,R736203,Processed
NbSx,R736204,Processed
TbAlxOy,R736205,Processed
TbYbxTiyOz,R736206,Processed
TaOx,R736207,Processed
CeHfxOy,R736208,Processed
AlSb,R736209,Processed
KNaxNbyOz,R736210,Processed
