Name,ORKG Resource ID,Status
H2O photo assisted,R734202,Processed
CHD,R733654,Processed
[Î·6:Î·1-(C5H5BNMe2)]Hf(NMe2)3,R733631,Processed
H2 plasma  ,R733739,Processed
Zr(NMe2)4,R733477,Processed
Si2Cl6,R733719,Processed
Hf(mmp)4,R733751,Processed
O2 + NH3,R733691,Processed
Pb(tmod)2,R733748,Processed
Al(OEt)3,R733565,Processed
ZrCp2(NMe2)2,R733568,Processed
Ni(thd)2,R734195,Processed
Mg,R29445,Processed
Sb(OEt)3,R733987,Processed
Zr(CpEt)(NMe2)3,R733624,Processed
Co(iPrAMD)2,R733231,Processed
Gd(dmb)3,R734086,Processed
WH2Cp2,R733681,Processed
Cu(O2C tBu)2,R733266,Processed
Bi(OC6H13)3,R733484,Processed
Zr(OtBu)2(dmae)2,R733382,Processed
 Mn(thd)3,R734159,Processed
Ho(thd)3,R733312,Processed
HF,R254335,Processed
Ce(CpiPr)3,R734074,Processed
HF-pyridine,R733535,Processed
In(NMe2)Me2,R733661,Processed
Se2(Si(iPr)2)2,R733425,Processed
Zr(OiPr)4,R733507,Processed
Mo(NtBu)2(NMe2)2,R734157,Processed
Sr(CpiPr3)2,R733204,Processed
ZrI4,R733575,Processed
Ta(NtAm)[(NMe2)]3,R733212,Processed
Ir(CO)3(tBu3Cyp),R733889,Processed
Tb(thd)3,R733341,Processed
RuCp2,R734183,Processed
DHP,R734094,Processed
Hf(NEtMe)4,R733736,Processed
AlH2(tBuNCH2CH2NMe2),R733292,Processed
CoTp2,R734053,Processed
Zn,R723784,Processed
Si(OtPe)3OH,R734060,Processed
Lu(OiPr)3,R733485,Processed
Si(OEt)3((CH2)3NH2),R733288,Processed
Hf(CpMe2)(NMe2)3,R734106,Processed
(Et3 Si)2Se,R734096,Processed
BBr3,R733530,Processed
Ce(iPr2AMD)3,R733920,Processed
CuCl,R733398,Processed
tBuPH2,R733892,Processed
Ge(Î·2 -((NtBu)CHMeCHMe(NtBu))),R733208,Processed
MoO2(thd)2,R733766,Processed
Mn(EtCp)2,R733679,Processed
C6H4(OH)2,R733676,Processed
CH3CHOHCH3,R733464,Processed
W(CO)(3-hexyne)3,R734139,Processed
Hf(CpMe)2(OMe)Me,R733812,Processed
Gd(iPrAMD)3,R734200,Processed
La[N(SiMe3)2]3,R733785,Processed
