process_id,process_material,process_reactanta,process_reactantb,process_reactantc,process_reactantd,reference_doi,paper_id,paper_title,extracted_info
50,Al2O3,Al(NiPr2)3,H2O,,,10.1016/j.matlet.2007.04.009,R732605,"Tris(dialkylamino)aluminums: Syntheses, characterization, volatility comparison and atomic layer deposition of alumina thin films","{
    ""process_parameters"": {
        ""reactants"": [
            ""Al(NiPr2)3, H2O""
        ],
        ""temperature_range"": ""Up to 325 °C"",
        ""pressure_range"": ""100 mTorr to 240 mTorr""
    },
    ""film_properties"": {
        ""material"": ""Al2O3"",
        ""thickness_control"": ""Thickness was monitored as a function of seconds, and after 20 s found to be stable and linear"",
        ""uniformity"": ""Uniform surfaces with RMS roughnesses of 5 Å"",
        ""conformality"": ""-"",
        ""film_thickness"": ""211 Å and 157 Å"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""RMS roughnesses of 5 Å"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Verified precursor purge time and self-limiting growth"",
        ""nucleation_behavior"": ""-"",
        ""growth_per_cycle"": ""0.73 Å/cycle""
    },
    ""safety"": ""Non-pyrophoric alternatives to TMA"",
    ""stability"": ""Amorphous films"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Precursor volatility"": ""Al(DIA)3 is one to two orders of magnitude more volatile than Al(DEA)3"",
        ""Precursor synthesis"": ""Synthesized from aluminum hydrides instead of chlorides or heavier halides""
    }
}"
168,TiO2,Ti(CpMe5)(OMe)3,O2 plasma ,,,10.1149/1.3428705,R732608,Low Temperature Plasma-Enhanced Atomic Layer Deposition of Metal Oxide Thin Films,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ti(CpMe5)(OMe)3, O2 plasma ""
        ],
        ""temperature_range"": ""25-400°C"",
        ""pressure_range"": ""100-1000 mTorr (OpAL), 7.5-100 mTorr (ALD-I and FlexAL)""
    },
    ""film_properties"": {
        ""material"": ""TiO2"",
        ""thickness_control"": ""In situ spectroscopic ellipsometry (SE) was used to monitor film growth."",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""0.05-0.06 nm/cycle for Ti(CpMe5)(OMe)3"",
        ""film_density"": ""3.6-4.2 g/cm³"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Yes, the growth per cycle showed linear behavior with no significant nucleation delay."",
        ""nucleation_behavior"": ""-"",
        ""growth_per_cycle"": ""0.05-0.06 nm/cycle for Ti(CpMe5)(OMe)3""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Film composition"": ""Stoichiometric TiO2 at 50°C and above, over-stoichiometric at 25°C due to hydroxyl incorporation."",
        ""Hydrogen content"": ""8 atom % at 25°C, below detection limits at other temperatures."",
        ""Carbon content"": ""Below detection limits (1 atom %).""
    }
}"
169,TiO2,Ti(CpMe)(OiPr)3,O2 plasma,,,10.1149/1.3428705,R732608,Low Temperature Plasma-Enhanced Atomic Layer Deposition of Metal Oxide Thin Films,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ti(CpMe)(OiPr)3, O2 plasma""
        ],
        ""temperature_range"": ""25-400°C"",
        ""pressure_range"": ""100-1000 mTorr (OpAL), 7.5-100 mTorr (ALD-I and FlexAL)""
    },
    ""film_properties"": {
        ""material"": ""TiO2"",
        ""thickness_control"": ""In situ spectroscopic ellipsometry (SE) was used to monitor film growth and determine thickness."",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""0.05-0.06 nm/cycle for Ti(CpMe)(OiPr)3"",
        ""film_density"": ""3.6-4.2 g/cm³"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Yes, evidenced by linear growth per cycle."",
        ""nucleation_behavior"": ""No significant nucleation delay observed."",
        ""growth_per_cycle"": ""0.05-0.06 nm/cycle for Ti(CpMe)(OiPr)3""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Additional property 1"": ""Film composition was stoichiometric TiO2 at 50°C and above."",
        ""Additional property 2"": ""Hydrogen content was below detection limits for most temperatures, except for 25°C where it was 8 atom %.""
    }
}"
177,TiO2,Ti(OiPr)4,O2 plasma,,,10.1149/1.3428705,R732608,Low Temperature Plasma-Enhanced Atomic Layer Deposition of Metal Oxide Thin Films,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ti(OiPr)4, O2 plasma""
        ],
        ""temperature_range"": ""25-400°C"",
        ""pressure_range"": ""100-1000 mTorr (OpAL), 7.5-100 mTorr (ALD-I and FlexAL)""
    },
    ""film_properties"": {
        ""material"": ""TiO2"",
        ""thickness_control"": ""In situ spectroscopic ellipsometry (SE) was used to monitor film growth."",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""0.05-0.06 nm/cycle"",
        ""film_density"": ""3.6-4.2 g/cm³"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Yes, the growth per cycle showed linear behavior with no significant nucleation delay."",
        ""nucleation_behavior"": ""-"",
        ""growth_per_cycle"": ""0.05-0.06 nm/cycle""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Film Composition"": ""Stoichiometric TiO2 at 50°C and above, over-stoichiometric at 25°C due to hydroxyl group incorporation."",
        ""Hydrogen Content"": ""8 atom % at 25°C, below detection limits at other temperatures."",
        ""Carbon Content"": ""Below detection limits for RBS (1 atom %).""
    }
}"
250,Co,CoCp2,NH3 plasma,,,10.1063/1.2742791,R732611,Nitride mediated epitaxy of CoSi2 through self-interlayer-formation of plasma-enhanced atomic layer deposition Co,"{
    ""process_parameters"": {
        ""reactants"": [
            ""CoCp2, NH3 plasma""
        ],
        ""temperature_range"": ""300 °C"",
        ""pressure_range"": ""-""
    },
    ""film_properties"": {
        ""material"": ""Co"",
        ""thickness_control"": ""SiNx interlayer thickness controlled by changing NH3 plasma exposure time"",
        ""uniformity"": ""Good layer uniformity"",
        ""conformality"": ""High conformality of PE-ALD Co film"",
        ""film_thickness"": ""20 nm"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""-"",
        ""nucleation_behavior"": ""No nucleation delay on Si and SiO2 due to SiNx formation by NH3 plasma"",
        ""growth_per_cycle"": ""-""
    },
    ""safety"": ""-"",
    ""stability"": ""High thermal stability"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""Provides a simple route for contact formation in future nanoscale devices"",
    ""extra_properties"": {
        ""Interlayer formation"": ""Amorphous SiNx interlayer formed during deposition"",
        ""Annealing conditions"": ""Postdeposition annealing at 800 °C and 900 °C"",
        ""Film purity"": ""Very pure Co films with low resistivity of 10 µΩ·cm"",
        ""Interface analysis"": ""XPS and SIMS analysis confirmed SiNx interlayer"",
        ""Epitaxial growth"": ""CoSi2 epitaxially grown with cube-on-cube relationship with Si(001) substrate""
    }
}"
485,Ru,Ru(thd)3,O2,,,10.1557/JMR.2004.0426,R732614,Atomic layer deposition of noble metals: Exploration of the low limit of the deposition temperature,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ru(thd)3, O2""
        ],
        ""temperature_range"": ""250-325 °C"",
        ""pressure_range"": ""10 mbar""
    },
    ""film_properties"": {
        ""material"": ""Ru"",
        ""thickness_control"": ""Film thicknesses were determined by XRR and EDX"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""Measured by XRR and EDX"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""Analyzed by XRR and AFM"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""-"",
        ""nucleation_behavior"": ""Ruthenium films were obtained on iridium seed layers at lower deposition temperatures than on Al2O3"",
        ""growth_per_cycle"": ""0.15 Å cycle⁻¹ at 250 °C""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""Crystal orientation"": ""The films grown from Ru(thd)3 at 250-325 °C had a preferred (002) crystal orientation""
    }
}"
684,Ta2O5,Ta(NMe2)5,O2 plasma,,,10.1149/1.3428705,R732608,Low Temperature Plasma-Enhanced Atomic Layer Deposition of Metal Oxide Thin Films,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, O2 plasma""
        ],
        ""temperature_range"": ""25–250°C"",
        ""pressure_range"": ""50–1000 mTorr""
    },
    ""film_properties"": {
        ""material"": ""Ta2O5"",
        ""thickness_control"": ""In situ spectroscopic ellipsometry (SE) was used to monitor film growth and determine thickness."",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""0.08 nm/cycle"",
        ""film_density"": ""3.6–4.2 g/cm³"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Yes, the process showed self-limiting behavior with linear growth per cycle."",
        ""nucleation_behavior"": ""No significant nucleation delay was observed."",
        ""growth_per_cycle"": ""0.08 nm/cycle""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""reactor_types"": ""Oxford Instruments FlexAL and ALD-I reactors"",
        ""substrates"": ""n-type Si(100) wafers"",
        ""precursor_purity"": ""99.9%"",
        ""plasma_power"": ""200 W"",
        ""oxygen_flow_rate"": ""50 sccm"",
        ""argon_flow_rate"": ""100 sccm precursor step, 150 sccm purges, 50 sccm plasma""
    }
}"
702,TaNx,Ta(NMe2)5,NH3,,,10.1116/1.2345205,R732617,Atomic layer deposition of Ta-based thin films: Reactions of alkylamide precursor with various reactants,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, NH3""
        ],
        ""temperature_range"": ""150-500 °C"",
        ""pressure_range"": ""10 mTorr during reactant exposure""
    },
    ""film_properties"": {
        ""material"": ""TaNx"",
        ""thickness_control"": ""Growth rate of 0.35 Å/s for PE-ALD TaN"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""-"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Saturation growth rate observed"",
        ""nucleation_behavior"": ""-"",
        ""growth_per_cycle"": ""0.35 Å/s for PE-ALD TaN""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""carbon_content"": ""15 at. % for PE-ALD TaN"",
        ""nitrogen_content"": ""N/Ta ratio close to 0.8 for PE-ALD TaN"",
        ""film_phase"": ""Cubic TaN phase for PE-ALD TaN""
    }
}"
704,TaNx,Ta(NMe2)5,H2 plasma,,,10.1149/1.2988651,R732621,Deposition of TiN and TaN by Remote Plasma ALD for Cu and Li Diffusion Barrier Applications,"{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, H2 plasma""
        ],
        ""temperature_range"": ""225°C"",
        ""pressure_range"": ""7.5 mTorr""
    },
    ""film_properties"": {
        ""material"": ""TaNx"",
        ""thickness_control"": ""In situ spectroscopic ellipsometry (SE) was used to study the thin-film growth during the deposition processes."",
        ""uniformity"": ""-"",
        ""conformality"": ""Capable of depositing high-quality films with good conformality in high aspect ratio structures."",
        ""film_thickness"": ""Varies with plasma exposure time, e.g., 26.0 nm for 3 s H2 plasma, 31.6 nm for 10 s H2 plasma."",
        ""film_density"": ""Varies with plasma exposure time, e.g., 9.1 g/cm³ for 3 s H2 plasma, 10.4 g/cm³ for 10 s H2 plasma."",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Soft saturation behavior observed for TaN growth per cycle."",
        ""nucleation_behavior"": ""-"",
        ""growth_per_cycle"": ""Varies with plasma exposure time, e.g., 0.038 nm/cycle for 3 s H2 plasma, 0.049 nm/cycle for 10 s H2 plasma.""
    },
    ""safety"": ""-"",
    ""stability"": ""Thermal stability demonstrated up to 400°C."",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""-"",
    ""device_performance"": ""Preliminary tests showed potential as Cu and Li diffusion barriers. TaN films showed lower barrier properties compared to TiN films."",
    ""extra_properties"": {
        ""Electrical resistivity"": ""Varies with plasma exposure time, e.g., 3400 µΩ·cm for 3 s H2 plasma, 380 µΩ·cm for 10 s H2 plasma."",
        ""Microstructure"": ""Cubic phase structure with strong preferential 200 growth direction."",
        ""Cu diffusion barrier properties"": ""Barrier failure observed between 600 and 650°C."",
        ""Li diffusion barrier properties"": ""Higher reactivity compared to TiN, with significant oxygen content affecting performance.""
    }
}"
706,TaNx,Ta(NMe2)5,"N2,H e",,,10.1116/1.3256227,R732624,"Optical emission spectroscopy as a tool for studying, optimizing, and monitoring plasma-assisted atomic layer deposition processes","{
    ""process_parameters"": {
        ""reactants"": [
            ""Ta(NMe2)5, N2,H e""
        ],
        ""temperature_range"": ""-"",
        ""pressure_range"": ""7.5-15 mTorr""
    },
    ""film_properties"": {
        ""material"": ""TaNx"",
        ""thickness_control"": ""-"",
        ""uniformity"": ""-"",
        ""conformality"": ""-"",
        ""film_thickness"": ""-"",
        ""film_density"": ""-"",
        ""surface_roughness"": ""-"",
        ""refractive_index"": ""-""
    },
    ""process_characteristics"": {
        ""self_limiting_behavior"": ""Time-resolved measurements reveal information about the amount of precursor dosing and length of plasma exposure needed to saturate the self-limiting half reactions."",
        ""nucleation_behavior"": ""-"",
        ""growth_per_cycle"": ""-""
    },
    ""safety"": ""-"",
    ""stability"": ""-"",
    ""reproducibility"": ""-"",
    ""precursor_consumption"": ""Time-resolved OES can reveal information about the saturation of the two half reactions, it is also possible to optimize half reaction times by OES. This is helpful to decrease precursor consumption and to increase wafer throughput."",
    ""device_performance"": ""-"",
    ""extra_properties"": {
        ""OES as a monitoring tool"": ""OES can be used as an easy-to-implement process monitoring tool for plasma-assisted ALD processes on production equipment; for example, to monitor reactor wall conditions or to detect process faults in real time."",
        ""Emission spectra"": ""Emission spectra of several plasmas that are frequently used in plasma-assisted ALD processes, i.e., O2, H2, N2, H2-N2, and NH3 plasmas, were discussed."",
        ""Reaction products"": ""OES provides information on the reactant species delivered to the surface by the plasma and also yields unique insight into the surface reaction products and reaction mechanisms of the deposition process."",
        ""Experimental setup"": ""The OES measurements were carried out on two plasma-assisted ALD reactors classified as remote plasma reactors.""
    }
}"
